D092      //Pixel 0: 53394
E7E2      //Pixel 1: 59362
2083      //Pixel 2: 8323
E9D4      //Pixel 3: 59860
A1E3      //Pixel 4: 41443
18F9      //Pixel 5: 6393
474C      //Pixel 6: 18252
8C01      //Pixel 7: 35841
F520      //Pixel 8: 62752
F703      //Pixel 9: 63235
285A      //Pixel 10: 10330
F879      //Pixel 11: 63609
F509      //Pixel 12: 62729
7C42      //Pixel 13: 31810
CCE0      //Pixel 14: 52448
2453      //Pixel 15: 9299
6BF9      //Pixel 16: 27641
EA6E      //Pixel 17: 60014
CACF      //Pixel 18: 51919
F5A2      //Pixel 19: 62882
A7DF      //Pixel 20: 42975
925      //Pixel 21: 2341
D961      //Pixel 22: 55649
EF1B      //Pixel 23: 61211
ADC2      //Pixel 24: 44482
C1FC      //Pixel 25: 49660
BE3E      //Pixel 26: 48702
6469      //Pixel 27: 25705
A7CE      //Pixel 28: 42958
2BD3      //Pixel 29: 11219
B4C0      //Pixel 30: 46272
827      //Pixel 31: 2087
46E5      //Pixel 32: 18149
BD2      //Pixel 33: 3026
18DE      //Pixel 34: 6366
D2CF      //Pixel 35: 53967
B1E1      //Pixel 36: 45537
512E      //Pixel 37: 20782
F342      //Pixel 38: 62274
8D2      //Pixel 39: 2258
7052      //Pixel 40: 28754
61AE      //Pixel 41: 25006
C3F9      //Pixel 42: 50169
CB93      //Pixel 43: 52115
2FD7      //Pixel 44: 12247
7D62      //Pixel 45: 32098
7212      //Pixel 46: 29202
A575      //Pixel 47: 42357
B599      //Pixel 48: 46489
C134      //Pixel 49: 49460
46AA      //Pixel 50: 18090
AE01      //Pixel 51: 44545
A7B5      //Pixel 52: 42933
29A1      //Pixel 53: 10657
1E77      //Pixel 54: 7799
7F95      //Pixel 55: 32661
F5B2      //Pixel 56: 62898
5724      //Pixel 57: 22308
95D5      //Pixel 58: 38357
394C      //Pixel 59: 14668
C054      //Pixel 60: 49236
414E      //Pixel 61: 16718
8187      //Pixel 62: 33159
B2F7      //Pixel 63: 45815
E413      //Pixel 64: 58387
F595      //Pixel 65: 62869
8C17      //Pixel 66: 35863
237D      //Pixel 67: 9085
2639      //Pixel 68: 9785
41ED      //Pixel 69: 16877
D73A      //Pixel 70: 55098
4119      //Pixel 71: 16665
D075      //Pixel 72: 53365
3E58      //Pixel 73: 15960
EDE5      //Pixel 74: 60901
5999      //Pixel 75: 22937
3255      //Pixel 76: 12885
4048      //Pixel 77: 16456
9DB6      //Pixel 78: 40374
792A      //Pixel 79: 31018
5A07      //Pixel 80: 23047
D4B2      //Pixel 81: 54450
95D4      //Pixel 82: 38356
8CBB      //Pixel 83: 36027
EACE      //Pixel 84: 60110
492D      //Pixel 85: 18733
C1D8      //Pixel 86: 49624
C0F5      //Pixel 87: 49397
6165      //Pixel 88: 24933
915D      //Pixel 89: 37213
136C      //Pixel 90: 4972
DD0      //Pixel 91: 3536
87E3      //Pixel 92: 34787
C778      //Pixel 93: 51064
EF1C      //Pixel 94: 61212
2142      //Pixel 95: 8514
919F      //Pixel 96: 37279
782A      //Pixel 97: 30762
30D      //Pixel 98: 781
564E      //Pixel 99: 22094
2985      //Pixel 100: 10629
CB57      //Pixel 101: 52055
4FAC      //Pixel 102: 20396
874E      //Pixel 103: 34638
2A68      //Pixel 104: 10856
9A1C      //Pixel 105: 39452
4353      //Pixel 106: 17235
A772      //Pixel 107: 42866
B071      //Pixel 108: 45169
BF87      //Pixel 109: 49031
7357      //Pixel 110: 29527
1576      //Pixel 111: 5494
3A9F      //Pixel 112: 15007
E9D1      //Pixel 113: 59857
2703      //Pixel 114: 9987
D369      //Pixel 115: 54121
89D1      //Pixel 116: 35281
FF03      //Pixel 117: 65283
1404      //Pixel 118: 5124
7154      //Pixel 119: 29012
1B4E      //Pixel 120: 6990
F63F      //Pixel 121: 63039
130      //Pixel 122: 304
C661      //Pixel 123: 50785
D13B      //Pixel 124: 53563
DE63      //Pixel 125: 56931
159E      //Pixel 126: 5534
6659      //Pixel 127: 26201
4287      //Pixel 128: 17031
CCD2      //Pixel 129: 52434
6E72      //Pixel 130: 28274
E921      //Pixel 131: 59681
2E8E      //Pixel 132: 11918
4389      //Pixel 133: 17289
2543      //Pixel 134: 9539
22D6      //Pixel 135: 8918
DE8A      //Pixel 136: 56970
9468      //Pixel 137: 37992
8CC4      //Pixel 138: 36036
251C      //Pixel 139: 9500
DA61      //Pixel 140: 55905
9F40      //Pixel 141: 40768
59D9      //Pixel 142: 23001
8365      //Pixel 143: 33637
66DD      //Pixel 144: 26333
1373      //Pixel 145: 4979
3D6C      //Pixel 146: 15724
1F92      //Pixel 147: 8082
2F15      //Pixel 148: 12053
3D6E      //Pixel 149: 15726
6AD3      //Pixel 150: 27347
CB7      //Pixel 151: 3255
E719      //Pixel 152: 59161
F1DE      //Pixel 153: 61918
7DAA      //Pixel 154: 32170
7D40      //Pixel 155: 32064
5675      //Pixel 156: 22133
E66A      //Pixel 157: 58986
5E87      //Pixel 158: 24199
1C78      //Pixel 159: 7288
C7BF      //Pixel 160: 51135
63C6      //Pixel 161: 25542
3DE0      //Pixel 162: 15840
6767      //Pixel 163: 26471
18B2      //Pixel 164: 6322
21CA      //Pixel 165: 8650
F12B      //Pixel 166: 61739
F4C6      //Pixel 167: 62662
9341      //Pixel 168: 37697
F4E      //Pixel 169: 3918
3C1B      //Pixel 170: 15387
5A69      //Pixel 171: 23145
D23A      //Pixel 172: 53818
3F2      //Pixel 173: 1010
B04      //Pixel 174: 2820
2B43      //Pixel 175: 11075
A62D      //Pixel 176: 42541
BB53      //Pixel 177: 47955
A5D3      //Pixel 178: 42451
7370      //Pixel 179: 29552
8C09      //Pixel 180: 35849
4BDC      //Pixel 181: 19420
BEA5      //Pixel 182: 48805
3060      //Pixel 183: 12384
AFD1      //Pixel 184: 45009
2EFB      //Pixel 185: 12027
5E56      //Pixel 186: 24150
A029      //Pixel 187: 41001
C7BD      //Pixel 188: 51133
14C5      //Pixel 189: 5317
EDED      //Pixel 190: 60909
C696      //Pixel 191: 50838
7C9F      //Pixel 192: 31903
6F95      //Pixel 193: 28565
7261      //Pixel 194: 29281
4E6D      //Pixel 195: 20077
822E      //Pixel 196: 33326
82C2      //Pixel 197: 33474
D151      //Pixel 198: 53585
CB7B      //Pixel 199: 52091
A4F3      //Pixel 200: 42227
60ED      //Pixel 201: 24813
CFC4      //Pixel 202: 53188
8868      //Pixel 203: 34920
59CA      //Pixel 204: 22986
F063      //Pixel 205: 61539
E03E      //Pixel 206: 57406
8CD8      //Pixel 207: 36056
9F5B      //Pixel 208: 40795
9649      //Pixel 209: 38473
352F      //Pixel 210: 13615
4D1F      //Pixel 211: 19743
788F      //Pixel 212: 30863
3B02      //Pixel 213: 15106
D825      //Pixel 214: 55333
31DD      //Pixel 215: 12765
39D7      //Pixel 216: 14807
2BB4      //Pixel 217: 11188
3A49      //Pixel 218: 14921
6F8A      //Pixel 219: 28554
4FA5      //Pixel 220: 20389
EC63      //Pixel 221: 60515
6E23      //Pixel 222: 28195
2F51      //Pixel 223: 12113
E7A7      //Pixel 224: 59303
FAD1      //Pixel 225: 64209
705A      //Pixel 226: 28762
1C73      //Pixel 227: 7283
4211      //Pixel 228: 16913
68A2      //Pixel 229: 26786
984C      //Pixel 230: 38988
4321      //Pixel 231: 17185
9A54      //Pixel 232: 39508
B613      //Pixel 233: 46611
38C5      //Pixel 234: 14533
1E10      //Pixel 235: 7696
4BF3      //Pixel 236: 19443
519C      //Pixel 237: 20892
6C97      //Pixel 238: 27799
8204      //Pixel 239: 33284
15E5      //Pixel 240: 5605
4333      //Pixel 241: 17203
CD10      //Pixel 242: 52496
77B      //Pixel 243: 1915
EDCA      //Pixel 244: 60874
BAF7      //Pixel 245: 47863
7D16      //Pixel 246: 32022
941B      //Pixel 247: 37915
3CBF      //Pixel 248: 15551
7578      //Pixel 249: 30072
F68D      //Pixel 250: 63117
8BFC      //Pixel 251: 35836
856A      //Pixel 252: 34154
3B4A      //Pixel 253: 15178
7D29      //Pixel 254: 32041
9FC3      //Pixel 255: 40899
